,genus,family,order,class
339,Petracola,Gymnophthalmidae,Squamata,Reptilia
340,Teuchocercus,Gymnophthalmidae,Squamata,Reptilia
341,Macropholidus,Gymnophthalmidae,Squamata,Reptilia
342,Pholidobolus,Gymnophthalmidae,Squamata,Reptilia
343,Echinosaura,Gymnophthalmidae,Squamata,Reptilia
344,Riama,Gymnophthalmidae,Squamata,Reptilia
345,Euspondylus,Gymnophthalmidae,Squamata,Reptilia
346,Neusticurus,Gymnophthalmidae,Squamata,Reptilia
347,Placosoma,Gymnophthalmidae,Squamata,Reptilia
348,Anotosaura,Gymnophthalmidae,Squamata,Reptilia
349,Dryadosaura,Gymnophthalmidae,Squamata,Reptilia
350,Colobosauroides,Gymnophthalmidae,Squamata,Reptilia
351,Leposoma,Gymnophthalmidae,Squamata,Reptilia
352,Marinussaurus,Gymnophthalmidae,Squamata,Reptilia
353,Arthrosaura,Gymnophthalmidae,Squamata,Reptilia
354,Adercosaurus,Gymnophthalmidae,Squamata,Reptilia
355,Amapasaurus,Gymnophthalmidae,Squamata,Reptilia
356,Ecpleopus,Gymnophthalmidae,Squamata,Reptilia
357,Kaieteurosaurus,Gymnophthalmidae,Squamata,Reptilia
358,Pantepuisaurus,Gymnophthalmidae,Squamata,Reptilia
359,Acanthodactylus,Lacertidae,Squamata,Reptilia
360,Mesalina,Lacertidae,Squamata,Reptilia
361,Ophisops,Lacertidae,Squamata,Reptilia
362,Eremias,Lacertidae,Squamata,Reptilia
363,Omanosaura,Lacertidae,Squamata,Reptilia
364,Adolfus,Lacertidae,Squamata,Reptilia
365,Congolacerta,Lacertidae,Squamata,Reptilia
366,Gastropholis,Lacertidae,Squamata,Reptilia
367,Holaspis,Lacertidae,Squamata,Reptilia
368,Australolacerta,Lacertidae,Squamata,Reptilia
369,Pedioplanis,Lacertidae,Squamata,Reptilia
370,Tropidosaura,Lacertidae,Squamata,Reptilia
371,Ichnotropis,Lacertidae,Squamata,Reptilia
372,Meroles,Lacertidae,Squamata,Reptilia
373,Vhembelacerta,Lacertidae,Squamata,Reptilia
374,Heliobolus,Lacertidae,Squamata,Reptilia
375,Philochortus,Lacertidae,Squamata,Reptilia
376,Pseuderemias,Lacertidae,Squamata,Reptilia
377,Latastia,Lacertidae,Squamata,Reptilia
378,Nucras,Lacertidae,Squamata,Reptilia
379,Poromera,Lacertidae,Squamata,Reptilia
380,Atlantolacerta,Lacertidae,Squamata,Reptilia
381,Algyroides,Lacertidae,Squamata,Reptilia
382,Dinarolacerta,Lacertidae,Squamata,Reptilia
383,Anatololacerta,Lacertidae,Squamata,Reptilia
384,Parvilacerta,Lacertidae,Squamata,Reptilia
385,Darevskia,Lacertidae,Squamata,Reptilia
386,Iranolacerta,Lacertidae,Squamata,Reptilia
387,Iberolacerta,Lacertidae,Squamata,Reptilia
388,Apathya,Lacertidae,Squamata,Reptilia
389,Takydromus,Lacertidae,Squamata,Reptilia
390,Phoenicolacerta,Lacertidae,Squamata,Reptilia
391,Lacerta,Lacertidae,Squamata,Reptilia
392,Timon,Lacertidae,Squamata,Reptilia
393,Dalmatolacerta,Lacertidae,Squamata,Reptilia
394,Hellenolacerta,Lacertidae,Squamata,Reptilia
395,Archaeolacerta,Lacertidae,Squamata,Reptilia
396,Zootoca,Lacertidae,Squamata,Reptilia
397,Scelarcis,Lacertidae,Squamata,Reptilia
398,Teira,Lacertidae,Squamata,Reptilia
399,Podarcis,Lacertidae,Squamata,Reptilia
400,Gallotia,Lacertidae,Squamata,Reptilia
401,Psammodromus,Lacertidae,Squamata,Reptilia
402,Rhineura,Rhineuridae,Squamata,Reptilia
403,Bipes,Bipedidae,Squamata,Reptilia
404,Cadea,Cadeidae,Squamata,Reptilia
405,Amphisbaena,Amphisbaenidae,Squamata,Reptilia
406,Ancylocranium,Amphisbaenidae,Squamata,Reptilia
407,Dalophia,Amphisbaenidae,Squamata,Reptilia
408,Monopeltis,Amphisbaenidae,Squamata,Reptilia
409,Baikia,Amphisbaenidae,Squamata,Reptilia
410,Geocalamus,Amphisbaenidae,Squamata,Reptilia
411,Loveridgea,Amphisbaenidae,Squamata,Reptilia
