"genus","family","order","class","phylum"
"Melanthera","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Perymenium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Baltimora","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Tilesia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Perymeniopsis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Clibadium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Rensonia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Angelphytum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Dimerostemma","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Sphagneticola","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Trigonopterum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Oyedaea","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Elaphandra","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Steiractinia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Lundellianthus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Pentalepis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Eclipta","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Wamalchitamia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Otopappus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Oblivia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Schizoptera","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Lasianthaea","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Synedrella","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Damnxanthodium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Calyptocarpus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Delilia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Jefea","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Blainvillea","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Kingianthus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
